"table_name","column_name","data_type","is_nullable"
"message","instgagt_fininstnid_clrsysmmbid_clrsysid_prtry","character varying","YES"
"message","instgagt_fininstnid_clrsysmmbid_mmbid","character varying","YES"
"message","instdagt_fininstnid_bicfi","character varying","YES"
"message","instdagt_fininstnid_clrsysmmbid_clrsysid_prtry","character varying","YES"
"message","instdagt_fininstnid_clrsysmmbid_mmbid","character varying","YES"
"message","simulation_message_id","uuid","YES"
"message002_transactions","id","uuid","NO"
"message002_transactions","stsid","character varying","YES"
"message002_transactions","orgnlinstrid","character varying","YES"
"message002_transactions","orgnlendtoendid","character varying","YES"
"message002_transactions","orgnltxid","character varying","YES"
"message002_transactions","orgnluetr","character varying","YES"
"message002_transactions","txsts","character varying","YES"
"message002_transactions","stsrsninf_ortgtr_nm","character varying","YES"
"message002_transactions","stsrsninf_rsn_cd","character varying","YES"
"message002_transactions","stsrsninf_addtlinf","character varying","YES"
"message002_transactions","clrsysref","character varying","YES"
"message002_transactions","instgagt_fininstnid_bicfi","character varying","YES"
"message002_transactions","instgagt_fininstnid_clrsysmmbid_clrsysid_prtry","character varying","YES"
"message002_transactions","instgagt_fininstnid_clrsysmmbid_mmbid","character varying","YES"
"message002_transactions","instdagt_fininstnid_bicfi","character varying","YES"
"message002_transactions","instdagt_fininstnid_clrsysmmbid_clrsysid_prtry","character varying","YES"
"message002_transactions","instdagt_fininstnid_clrsysmmbid_mmbid","character varying","YES"
"message002_transactions","orgnltxref_interbanksttlmamt","numeric","YES"
"message002_transactions","orgnltxref_interbanksttlmccy","character varying","YES"
"message002_transactions","orgnltxref_interbanksttlmdt","date","YES"
"message002_transactions","orgnltxref_pmttpinf_instrprty","character varying","YES"
"message002_transactions","orgnltxref_pmttpinf_svclvl_prtry","character varying","YES"
"message002_transactions","orgnltxref_rmtinf_ustrd","character varying","YES"
"message002_transactions","orgnltxref_ultmtdbtr_pty_nm","character varying","YES"
"message002_transactions","orgnltxref_ultmtdbtr_pty_pstladr_adrline","character varying","YES"
"message002_transactions","orgnltxref_ultmtdbtr_pty_id_prvtid_othr_id","character varying","YES"
"message002_transactions","orgnltxref_ultmtdbtr_pty_id_prvtid_schmenm_prtry","character varying","YES"
"message002_transactions","orgnltxref_ultmtdbtr_pty_ctryofres","character varying","YES"
"message002_transactions","orgnltxref_ultmtcdtr_pty_nm","character varying","YES"
"message002_transactions","orgnltxref_purp_prtry","character varying","YES"
"message002_transactions","message002_id_message","uuid","YES"
"message008_transactions","id","uuid","NO"
"message008_transactions","created_date","timestamp without time zone","YES"
"message008_transactions","updated_date","timestamp without time zone","YES"
"message008_transactions","pmtid_instrid","character varying","YES"
"message008_transactions","pmtid_endtoendid","character varying","YES"
"message008_transactions","pmtid_txid","character varying","YES"
"message008_transactions","pmtid_uetr","character varying","YES"
"message008_transactions","pmttpinf_instrprty","character varying","YES"
"message008_transactions","pmttpinf_clrchanl","character varying","YES"
"message008_transactions","pmttpinf_svclvl_prtry","character varying","YES"
"message008_transactions","pmttpinf_lclinstrm_prtry","character varying","YES"
"message008_transactions","pmttpinf_ctgypurp_prtry","character varying","YES"
"message008_transactions","intrbksttlm_amt","numeric","YES"
"message008_transactions","intrbksttlm_ccy","character varying","YES"
"message008_transactions","intrbksttlmdt","date","YES"
"message008_transactions","addtldttm_accptncdttm","timestamp without time zone","YES"
"message008_transactions","chrgbr","character varying","YES"
"message008_transactions","instgagt_fininstnid_bicfi","character varying","YES"
"message008_transactions","instgagt_fininstnid_clrsysmmbid_clrsysid_prtry","character varying","YES"
"message008_transactions","instgagt_fininstnid_clrsysmmbid_mmbid","character varying","YES"
"message008_transactions","instdagt_fininstnid_bicfi","character varying","YES"
"message008_transactions","instdagt_fininstnid_clrsysmmbid_clrsysid_prtry","character varying","YES"
"message008_transactions","instdagt_fininstnid_clrsysmmbid_mmbid","character varying","YES"
"message008_transactions","dbtr_nm","character varying","YES"
"message008_transactions","dbtr_id_prvtid_othr_schmenm_prtry","character varying","YES"
"message008_transactions","dbtr_ctryofres","character varying","YES"
"message008_transactions","dbtr_ctctdtls","character varying","YES"
"message008_transactions","dbtracct_id_othr_id","character varying","YES"
"message008_transactions","dbtracct_id_othr_schmnm_prtry","character varying","YES"
"message008_transactions","dbtracct_tp_prtry","character varying","YES"
"message008_transactions","dbtragt_brnchid","character varying","YES"
"message008_transactions","cdtr_nm","character varying","YES"
"message008_transactions","cdtracct_id_othr_id","character varying","YES"
"message008_transactions","cdtracct_id_othr_schmnm_prtry","character varying","YES"
"message008_transactions","cdtracct_nm","character varying","YES"
"message008_transactions","initg_pty_nm","character varying","YES"
"message008_transactions","initg_pty_id","character varying","YES"
"message008_transactions","initg_pty_ctry_of_res","character varying","YES"
"message008_transactions","message008_id_message","uuid","YES"
"message_ack","id_message","uuid","NO"
"message_ack","created_date","timestamp without time zone","YES"
"message_ack","updated_date","timestamp without time zone","YES"
"message_ack","messagename","character varying","YES"
"message_ack","messageid","character varying","NO"
"message_ack","source_flow","character varying","NO"
"message_ack","version","character varying","YES"
"message_ack","deposittimestamp","timestamp without time zone","YES"
"message_ack","nbrtx","bigint","YES"
"message_ack","checksum","character varying","YES"
"message_ack","content","bytea","YES"
"message_ack","acknowledged_message_id","uuid","NO"
"message_ack","simulation_message_id","uuid","YES"
"message_ack","campaign_message_id","uuid","YES"
"message_pacs002","id_message","uuid","NO"
"message_pacs002","created_date","timestamp without time zone","YES"
"message_pacs002","updated_date","timestamp without time zone","YES"
"message_pacs002","orgnl_msg_id","character varying","YES"
"message_pacs002","orgnl_msg_nm_id","character varying","YES"
"message_pacs002","orgnl_cre_dt_tm","timestamp without time zone","YES"
"message_pacs002","orgnl_nbr_of_txs","character varying","YES"
"message_pacs002","orgnl_ctrl_sum","numeric","YES"
"message_pacs002","grp_sts","character varying","YES"
"message_pacs002","ortgtr_nm","character varying","YES"
"message_pacs002","nb_of_txs_per_sts_dtld_nb_of_txs","character varying","YES"
"message_pacs002","nb_of_txs_per_sts_dtld_sts","character varying","YES"
"message_pacs002","instg_agt","character varying","YES"
"message_pacs002","instd_agt","character varying","YES"
"message_pacs002","splmtry_data","character varying","YES"
"message_pacs002","active","boolean","YES"
"message_pacs002","mode_response","character varying","YES"
"message_pacs008","id_message","uuid","NO"
"message_pacs008","created_date","timestamp without time zone","YES"
"message_pacs008","updated_date","timestamp without time zone","YES"
"message_pacs008","nboftxs","integer","YES"
"message_pacs008","ctrlsum","numeric","YES"
"message_pacs008","intrbksttlmdt","date","YES"
"message_pacs008","sttlminf_sttlmmtd","character varying","YES"
"message_pacs008","sttlminf_clrsys_prtry","character varying","YES"
"message_pacs008","status_async","character varying","YES"
"simulation","id_simulation","uuid","NO"
"simulation","created_date","timestamp without time zone","YES"
"simulation","updated_date","timestamp without time zone","YES"
"simulation","nature","character varying","YES"
"simulation","mode","character varying","YES"
"simulation","type","character varying","YES"
"simulation","status","character varying","YES"
"simulation","decision","character varying","YES"
"simulation","rjct_percentage","integer","YES"
"simulation","motif_combination_id","bigint","YES"
"simulation","started_at","timestamp without time zone","YES"
"simulation","end_at","timestamp without time zone","YES"
"simulation_message","id","uuid","NO"
"simulation_message","created_date","timestamp without time zone","YES"
"simulation_message","updated_date","timestamp without time zone","YES"
"simulation_message","nboftxs","integer","YES"
"simulation_message","nboftxs_acpt","integer","YES"
"simulation_message","nboftxs_rjct","integer","YES"
"simulation_message","sum_amount","bigint","YES"
"simulation_message","sum_amount_acpt","bigint","YES"
"simulation_message","sum_amount_rjct","bigint","YES"
"simulation_message","currency","character varying","YES"
"simulation_message","bic_sender","character varying","YES"
"simulation_message","bic_receiver","character varying","YES"
"simulation_message","code_bank_sender","character varying","YES"
"simulation_message","code_bank_receiver","character varying","YES"
"simulation_message","decision","character varying","YES"
"simulation_message","decision_gsimt","character varying","YES"
"simulation_message","decision_benef","character varying","YES"
"simulation_message","nboftxs_acpt_gsimt","integer","YES"
"simulation_message","nboftxs_rjct_gsimt","integer","YES"
"simulation_message","nboftxs_acpt_benef","integer","YES"
"simulation_message","nboftxs_rjct_benef","integer","YES"
"simulation_message","type","character varying","YES"
"simulation_message","status","character varying","NO"
"simulation_message","current_step","character varying","NO"
"simulation_message","failure_step","character varying","YES"
"simulation_message","message_type","character varying","YES"
"simulation_message","error_message","text","YES"
"simulation_message","simulation_id","uuid","YES"
"simulation_message","selected_pacs002_id","uuid","YES"
"simulation_message","selected_pacs008_id","uuid","YES"
